Name,PostTitle,PostDescription,Date,Time,ReplyCount
Brian,How should we improve hospitals?,"Dear members,Many of us, including myself, have spent a good bit of time in hospitals, as a patient or a caregiver or both, and have ideas about how hospitals can improve.Dr. Harlan Krumholz, a cardiologist, healthcare scientist, and health care improvement expert at Yale University, recently asked the following questions on Twitter: “I am curious to know from patients, especially those recently in the hospital: What do you wish we did better? What were the most obvious ways that quality could be improved throughout hospitalization and in the transition to home? We should all really want to know. What should we improve?”Harlan’s tweet generated many good replies, and several days ago I asked Harlan what he would think about me posing this question on his behalf here in Inspire. As Harlan is, I’m proud to say, a fan of Inspire, he readily agreed. I invite you to reply to this discussion with answers to the questions he posed, so that we can help to drive positive change in hospitals.We would like to create a summary from your answers and share them, in an anonymous fashion (no Inspire username), as an essay in a publication, or present the combined insights at a conference. We will let you know of any publication or presentation of this information. Your perspectives matter, and together we can make an impact.I look forward to reading your thoughts and ideas, and if for any reason you would prefer that we not include your answer in our summary, just write, “Don’t share” in your reply.Together we're better,Brian LoewFounder, Inspire ","Mar 13, 2019",10:24 am,870 
hellomorgan,Can you get HSV-2 from someone who’s never had an outbreak? - Sexually transmitted diseases,"I had unprotected sex with a man last week and afterwards, he told me that his previous partner has HSV-2. He told me that she hasn’t had an outbreak in years and that he’s never had an outbreak. Should I be concerned about contracting HSV-2? I was going to get tested in a month and see what the results are. Just been feeling pretty depressed about all of this. Any information will help ","March 13, 2019 ", 10:24 am,3 
sdiv,12 Years In - Sexually transmitted diseases,"I’m feeling...hopeless. I’ve had great strides since I discovered I contracted back in 2007. Yes, it’s been THAT long and a lot of the feelings don’t go away. Some accept and other will reject. Most have accepted my diagnosis. Others who supposedly were not carriers. And they still are Herpes-free as they still get tested (even though they’re exes). My bf and I had a rough few weeks and considered taking a break. The thought of even meeting a man and having to explain it all over again to a new person never feels good. The thought of being single after not being single for so long is anxiety-provoking enough. People are crazy. I know there will be a new man who will accept me if we do break up for good. My current bf is suuuper supportive and it helps. Also, I was nervous about children but my daughter came out healthier than ever. They pumped me with a bunch of medication during delivery that helped with making sure the herpes didn’t transmit. Its been 12 years for me. In some ways it’s gotten easier. Starting over with a new person at my age seems so daunting. ","June 29, 2019 ",  4:02 pm,1 
mastergousau2,Is this fordyce spot or genital herpes or genital wart ?? - Sexually transmitted diseases,"**Attached photo(uncircumcised flaccid penis(foreskin stretched out), u've been warned) is strictly only for viewer/reader's educational and/or ease of reference in relation to my question.i'm a 28 years old male.Can someone confirm is this fordyce spot or genital herpes or genital wart ??BACKGROUND FACTS:(1)On 18th June 2019 (Tuesday), i got my STD test result through blood test(IgG/IgM test) and came back positive with HSV-1(oral, but without symptom) with an index value of 35.1. Needless to say, i freaked out(felt sad, angry, depressed, embarrassed, hopeless, in denial, etc etc all at the same time). Clinical doctor then referred me to a STD specialist doctor for treatment.(2) 19th June 2019 (Wednesday), when i went to see the specialist doctor preparing to ask for medication treatment, to my surprise, he immediately and confidently dismissed my previous test result saying that it's false positive after asking whether i have any symptoms for herpes(both oral and genital). I told him i do not but told him to examine my body(waist and above) as i'm not sure the spots on my upper body(waist above) are acne, moles or herpes. The specialist examined my body and confirmed it's not herpes. I have never experienced any cold sores or any itching/pain on my genital areas. He did ask me do i have any lesions on my genitalia area and i verbally described it to him none(do not feel pain, itching or feel any sore) and it doesn't look like those pictures i've googled but did told him i have white spots around my penis shaft n suggested it could be fordyce n he just agreed with me(without examining it though). **NOTE: (1) the white spots around my penis shaft doesnt seem to cause me any pain or any discomfort at all....(2)gotta say though, in my mind i was like ""dafuq?? just like that ?? i really have no herpes despite the report??""  kinda find it hard to believe to my surprise...because just 24 hours ago i was prepared to live a single life for the rest of my life then the next day i'm hearing another news, one heck of a roller coaster of emotion**(3) In summary, he told me:(a) i do not have herpes despite my test result saying i have oral herpes,(b) my previous blood test result is definitely a false positive(yeah, he's so confident to the point he didn't even use words like ""highly unlikely"" or ""unlikely"" n went on to boast his credentials of being a practitioner for STDs for 30 years n being trained by professionals, dealing with over-thinking patients like me, etc etc) because the IgG/IgM test method is obsolete and inaccurate(he went on to give me an example saying that if a weighing scale machine only has 50% chance of being accurate would u still use that weighing scale machine to measure your weight?? kinda make sense to me), and said that the more and most accurate test method is the Polymerase chain reaction (PCR) test,(c) despite the obsolete and inaccurate methods of IgG/IgM test, some general practitioners still do such test because of wanting to earn money,(d) people without showing any symptoms of herpes(both oral and genital) despite their positive result conducted through IgG/IgM test are false positive results,(e) that he will only consider conducting a PCR test on me ONLY IF i have any symptoms(lesions, outbreaks,etc) or suspected symptom(then i should only go see him again for a physical examination of the suspected symptom before deciding to  conduct a PCR test),(f) not to go mess around by going for another blood test to get confirmation because of reason mentioned in (b) and the fact that this will cause me psychological anxiety/stress due to over-analysing and told me to stop reading stuff on the internet(lol, but im still here posting this :P)(g) even if i really do have oral herpes even after a PRC test, then it's still non-harmful and i can still live a normal life, have a family and kids(then he went on further to explain things like half of world population has HSV-1 and how non-harmful it is, the male sperm doesn't carry the herpes, blablabla i don't know he told me lots of stuff i couldn't remember all of it)**UNRELATED SIDE NOTE: the time i spent talking and consulting with the specialist was around 40minues+, he was actually very down to earth n a chill person**CONCLUSION:so because after consulting my doctor, i realised i should've taken a picture of the white/green spots around my penis shaft to show him so he can have a better view for his confirmation rather through my verbal description. That's why, right now, i'm asking the internet/world for your personal opinion....I'm not sure when exactly i have these white spots though, it's quite possible i may have it like few years back especially when i was like 21(2012), still not sure, just a guess,...bottom line i don't know when i have it.....So what's your opinion on the picture ?? Thanks in advance for reading and/or replying this post. Edited June 19, 2019 at  1:08 pm","June 28, 2019 ",  3:19 am,2 
khack2471,Hpv contagious even if dormant? - Sexually transmitted diseases,"Since I have had hpv on numerous of occasions in the past and experienced genital warts and had them removed, will I be contagious for the rest of my life? I read where it can lay dormant for a lifetime and re-occure if the immune system breaks down. So should I always be concerned that I will have another break out if this happens? Should any future partner be concerned or be notified? One last question can you spread hpv if the above all happens by hand jobs? I know you can if you have hpv, but if it's in you for a lifetime and dormant will it be spread? Thanks ","June 19, 2019 ", 12:56 pm,2 
jc1941,What could these symptoms mean? - Sexually transmitted diseases,"Hello, I am new to the message board but hopefully you all can provide me some insight on some symptoms I am currently having. I would normally go to the doctor but I am in between jobs and have no insurance until the beginning on the month. About a week ago I started experiencing burning in my genitals, mainly the tip of my penis, pain with ejaculation and urge to pee frequently.There is no discharge and my urine looks normal. I have had the same sex partner for the past 4 1/2 years, my wife was tested during her pregnancy for STDs 3 years ago with negative results. Could this maybe be a UTI? I’m only 32. Is it possible that I have an STD that was dormant for that long?Please help because I am starting to freak out a little and so is my wife. She is actually starting to think I have been cheating on her. ","June 19, 2019 ", 11:50 pm,1 
mastergousau,Can I still be a biological father after diagnosed with Oral Herpes (HSV-1) - Sexually transmitted diseases,"i'm 28 and male, just got diagnosed with HSV-1(oral, and without symptoms...yet). Needless to say, i'm devastated and depressed right now as i'm typing this post.(1)apart from the expected harsh reality of extreme difficulty of having a wife in future, my biggest concern is: will i be able to still have a healthy child despite me having herpes(assuming by miracle if i have a wife in future)??(2) will my child be infected too once born ?? or will my child suffer from any other harms due to my herpes ??(3) will my future wife(not infected with herpes or other types of STD) be infected by me when i have sex with her??i've been reading the internet saying many people have herpes and do lead normal life blablabla but can't seem to find anything about males with herpes having a child and whether the child n wife is infected or not.....if the child and/or wife will be infected then looks like i'm bound to be single for the rest of my life, which saddens, frustrates, scares me the most.i can't believe my life is over just like that....FKKK MY LIFE !!!! GOD DAMMIT !! Edited June 18, 2019 at  4:03 am","June 20, 2019 ",  1:59 pm,2 
pineapplequeen24,Diagnosed w Herpes looking for support. - Sexually transmitted diseases,"I’m 33 years old. I just found out on Fri Sept 14th 2018 that I was diagnosed w Herpes type 2. I feel like my world is shattered. I’ve cried an ocean and am still trying to process all this. I’m just looking for a support group on how to cope w this. Edited September 16, 2018 at  1:39 pm","June 18, 2019 ",  4:01 am,75 
Brian,How do you make medical decisions?,"Dear members,As patients and caregivers, we have more sources of medical information available to us than ever before to help us make the best decisions possible for our health.Advice from our doctors is sometimes not the same as the information we learn from the experiences of our peers, and there are often other sources of information available as well. Some of our decisions feel like big or serious decisions, while others do not. And sometimes, medical decisions have to be made quickly or under pressure. When the stakes are high – life and death, even – it could be scary to think you might make the wrong decision even if there is no clear ‘right’ one.We’d like to hear how you made medical decisions in your life. Did some sources of information or advice figure more prominently in the process than others? Were some decisions easy, and others hard? How do you know who or what to trust? In retrospect, did you feel you made the right choice, or would you have chosen differently? Could you have chosen differently? Making medical decisions is a unique and individual process, and sharing your story could help others who are trying to decide what to do. Together we’re better,BrianInspire ","September 16, 2018 ",  1:36 pm,1510 
kelsi0605,Is it possible my ex from 2 months ago gave me gonorrhea? - Sexually transmitted diseases,"At the beginning of June I started experiencing weird, painful symptoms. I was tested on the 8th and told a couple days later I was positive for gonorrhea. A week and a half before the symptoms I had sex with a guy who used condoms but we had lots of oral sex as well. He's the only other guy I've been with besides my ex in over 2 years. Gonorrhea doesn't always have symptoms I know, but being that I HAD symptoms in less than 2 weeks after I was with this guy I assume I got it from him. Is there any possibility I COULD have gotten it from my ex? What are the chances? ","November 23, 2016 ",  2:46 pm,1 
firstnamelast19,Worried about health HIV - Sexually transmitted diseases,"A few months ago I went to my normal obgyn appointment and got the call back and found out I had chlamydia and my Pap smear and came back abnormal. I know exactly when I contracted it and it was in February of this year. I had been having pelvis pain so I also got a vaginal ultra sound for that but they said everything looked normal and just to come back in a year for another Pap smear. After all that things went back to normal and I tested negative for chlamydia. My pelvis pain has started back and I’ve pretty much gone down a spiral since then. The pain in my pelvis some times goes down my legs. I’ve also read that anxiety can cause pain like this but, I can’t shake the thought that I could have something else like HIV. I never had flu like symptoms or anything like that. But I have had recent problems with my saliva glands and think they may be infected and the more I google the more I see that HIV could be a cause of that. Other than the pelvis pain and my saliva glands I feel normal but I know that doesn’t mean I don’t have anything. I know the best thing I could do is get tested but I’m just so fearful it would come back positive. I was just wondering what everyone else experiences were and has anyone ever been so anxious about something it causes them to have physical symptoms? Edited June 12, 2019 at 11:01 pm","June 12, 2019",10:58 pm,2 
lexie234,Pregnancy scare anxiety - Sexually transmitted diseases,"For those of you that read my last post about me being scared that I was pregnant without having sex and just only did fingering, well I recently took a quantitative blood test  on Monday and it said “<2” as you all could have guessed. I am currently working on treating my anxiety but I’m sure seeing the actual number helped me a lot ","June 12, 2019 ", 10:58 pm,1 
igotaquestion,Can I get herpes if I already have it? - Sexually transmitted diseases,So here's my question. Basically I had herpes type 1 and managed to pass it on to the genitals of my partner. So I'm wondering can I still get this same virus in my genitals even though I already have it orally. ,"June 13, 2019 ", 12:16 pm,1 
YesNow,Am I at risk? - @YesNow - Sexually transmitted diseases - 20190612,"Hi, I’m completely curious - if a woman is infected with chlamydia from sexual intercourse, but does not have oral sex with who she received the infection from, then proceeds to have oral sex with another man - would he be at risk from receiving chlamydia despite not coming into contact with the woman’s vagina?Thank you for your help. ","June 12, 2019 ", 12:13 pm,1 
hereIam88,LEEP for Chronic Cervicitis (Inflammation of the Cervix)? - @hereIam88 - Sexually transmitted diseases - 20190610,"Hi, I wad diagnosed with CIN1 changes in 2013. I tested positive for high risk HPV. They've continued to monitor it with regular pap smears and several biopsies, and while it hasn't gotten worse, it hasn't gotten better. At my last yearly (summer 2018) my GYNO noted inflammation, and about 9 months ago, I started to have a lot of pain and unusually bleeding. I would bleed heavily after sex or a pap smear, and any insertion was painful. I took antibiotics for 2 weeks but it did not cure it, and all of my testing came back negative (except for the high risk HPV and CIN1). I now have a LEEP scheduled in 3 weeks as she believes it will help both the cellular changes and the inflammation, although its my understanding that HPV doesn't cause cervicitis itself. Has anyone had an experience similar to this and did a LEEP help? Thanks. ","June 12, 2019 ",  5:36 am,4 
ambitionist,Should I be concern? What is the risk? - Sexually transmitted diseases,"I recently met this guy in person that I don’t know well and gave him a full body massage with my hands, I didn’t give him no oral sex or anal sex, I did use my bare hands, he did eventually ended up cumming on my ass near my crack but not near enough for the cum to be able to go inside me. Should I be worried or concern? I don’t think any of the cum went inside me ","June 10, 2019 ",  1:27 pm,2 
carriedib,Hating myself. - @carriedib - Sexually transmitted diseases - 20190608,how do I handle the emotional pain of passing herpes to my partner?  I had disclosed ahead of time but really didnt think it would happen. ,"June  7, 2019 ",  5:38 pm,2 
danielleneedshelp,Anyone else experience this? - @danielleneedshelp - Sexually transmitted diseases - 20190605,"I was diagnosed with HSV-1 a couple of months ago and was absolutely wrecked and consumed by it in the early weeks but I've definitely gotten better and learned to accept myself and my diagnosis. I have told a couple of friends and they've all been very supportive and I'm so grateful for them. However, in my experience telling male friends and questioning whether or not they would date or be sexually involved with someone with and STI, the answer is always no. They respectfully add that someone will though but they couldn't do it. I respect their responses and honesty and in any romantic setting in which I disclose my status I will definitely respect their decision no matter what. This is giving me absolutely 0 hope though. Are there really people out there that would be okay with my status? I guess I just haven't experienced it yet? Is anyone else experiencing this or feelings like this? ","June  8, 2019 ",  3:38 pm,4 
